n,key,url,classifier,category,spec_areas,confidence,rationale,summary,description,project,issuetype,components,labels,links,haiku_category,haiku_confidence
190,RUBY-3044,https://jira.mongodb.org/browse/RUBY-3044,opus,driver_spec_nonconformance,transactions|crud,high,"Bulk write batch splitting incorrectly increments txn_num inside transaction, violating Transactions spec for txn number stability.",Large bulk_write fails inside transactions,"When performing large bulk_writes, the write may internally be split into multiple smaller batches. This process increments the txn_num, which causes issues when an explicit transaction was used.

Script to reproduce:

{code:ruby}
require 'mongo'

client = Mongo::Client.new('mongodb://127.0.0.1:27017/test')
db = client.database
collection = db['people']

doc = {
  name: 'Steve',
  data: '.' * 20_000
}
op_count = 3_000
doc_size = BSON::Document.new(doc).to_s.length
total_size = doc_size * op_count
puts ""Size estimate: #{total_size}"" # Should be > 48MB to trigger this issue

client.start_session do |session|
  session.with_transaction do
    puts ""In transaction: #{session.txn_num}""
    collection.bulk_write([{insert_one: doc}] * op_count, { session: session })
  rescue => e
    puts e.inspect
    puts e.backtrace
    raise e
  end
end
{code}

Output:
{code}
Size estimate: 60087000
In transaction: 1
#<Mongo::Error::OperationFailure: [251:NoSuchTransaction]: Given transaction number 1 does not match any in-progress transactions. The active transaction number is -1 (on 127.0.0.1:27017, modern retry, attempt 1)>
~/.rbenv/versions/2.7.6/lib/ruby/gems/2.7.0/gems/mongo-2.18.0.beta1/lib/mongo/operation/result.rb:364:in `raise_operation_failure'
~/.rbenv/versions/2.7.6/lib/ruby/gems/2.7.0/gems/mongo-2.18.0.beta1/lib/mongo/operation/result.rb:330:in `validate!'
~/.rbenv/versions/2.7.6/lib/ruby/gems/2.7.0/gems/mongo-2.18.0.beta1/lib/mongo/bulk_write/result_combiner.rb:119:in `combine_write_errors!'
~/.rbenv/versions/2.7.6/lib/ruby/gems/2.7.0/gems/mongo-2.18.0.beta1/lib/mongo/bulk_write/result_combiner.rb:109:in `combine_errors!'
~/.rbenv/versions/2.7.6/lib/ruby/gems/2.7.0/gems/mongo-2.18.0.beta1/lib/mongo/bulk_write/result_combiner.rb:71:in `combine!'
~/.rbenv/versions/2.7.6/lib/ruby/gems/2.7.0/gems/mongo-2.18.0.beta1/lib/mongo/bulk_write.rb:198:in `block (3 levels) in execute_operation'
~/.rbenv/versions/2.7.6/lib/ruby/gems/2.7.0/gems",RUBY,Bug,,,,avoidable_by_spec_conformance,medium
191,RUBY-3722,https://jira.mongodb.org/browse/RUBY-3722,opus,driver_spec_nonconformance,retryable-reads|retryable-writes,high,"Driver fails to retry on SocketError during pool checkout, explicitly violating retryable reads spec since 2022-01-25.","SocketError during connection pool check out was not retried, violating retryable reads/writes specification","h2. Details

The Ruby driver currently does *not retry* when a {{SocketError}} is raised during connection pool check out. This behavior *violates the retryable reads specification* (see [specification|https://github.com/mongodb/specifications/blob/d41d48b90ef22aedae934dd22f3a21c65b5a13bc/source/retryable-reads/retryable-reads.md?plain=1#L570]), which since 2022-01-25 requires drivers to retry on handshake network failures.
h2. Root Cause Analysis

The issue appears to be in the exception mapping:
 * Socket.getaddrinfo raises Ruby's standard SocketError when DNS resolution fails
 * The map_exceptions method in Address#socket doesn't map SocketError to Mongo::Error::SocketError
 * The retry logic in ReadWorker#modern_read_with_retry only catches Mongo::Error::SocketError and its subclasses
 * As a result, the unmapped SocketError bypasses the retry mechanism entirely

h2. Suggested fix

Update the {{map_exceptions}} method in {{Address}} class to include {{SocketError}} in the exception mapping, ensuring it gets converted to {{Mongo::Error::SocketError}} so the retry logic can catch and handle it appropriately.
h2. Code References
 * Retry logic: [https://github.com/mongodb/mongo-ruby-driver/blob/9ce8f9049a069139f2e4ecbaeb4af12c1454fdf1/lib/mongo/retryable/read_worker.rb#L206]
 * map_exceptions: [https://github.com/mongodb/mongo-ruby-driver/blob/9ce8f9049a069139f2e4ecbaeb4af12c1454fdf1/lib/mongo/address.rb#L308]
 * getaddrinfo call: [https://github.com/mongodb/mongo-ruby-driver/blob/9ce8f9049a069139f2e4ecbaeb4af12c1454fdf1/lib/mongo/address.rb#L240]",RUBY,Bug,,,,driver_spec_nonconformance,high
192,RUBY-3739,https://jira.mongodb.org/browse/RUBY-3739,opus,not_relevant,csfle,medium,"Decrypt CSFLE values into native Ruby Integer types; Ruby-specific type ergonomics, not a CSFLE spec deviation.",Allow CSFLE in Ruby to be decrypted using Ruby types,"{code:ruby}
require ""bundler/inline""

gemfile do
  source ""https://rubygems.org""
  gem ""mongo""
  gem ""ffi""
  gem ""libmongocrypt-helper""
end

begin
  require ""mongo""

  mongo_client = ::Mongo::Client.new(
            ""mongodb://127.0.0.1:27017"",
            { read: { mode: :primary }, max_pool_size: 100, database: ""users_db"", server_selection_timeout: 1, user: ""myUser"", password: ""myPassword"", auth_source: ""admin"" }
  )
  encrypted_mongo_client = ::Mongo::Client.new(
            ""mongodb://127.0.0.1:27017"",
            { read: { mode: :primary }, max_pool_size: 100, database: ""users_db"", server_selection_timeout: 1, auto_encryption_options: { key_vault_namespace: ""encryption.__keyVault"", kms_providers:
            { local: { key: ""[\x02h/\x15\xEF\xC1\x85jj\x12\xCF\x06\xA3\xD0Zx\xADD/]\x13wr\xFD\x80U\x954\x86s\xBE\xB0\x16\x984\x8A\xC3$\x1F\x169\xD6\xCB\xB9\xB5t\x82\xD1\xA8o\xD6\xF7\xE8\xCCi\xA0\xB9aF\xA9-\x8AH9+\xA8\xBBK6\x90\x97\x9BE\xA2_\xA8_\\\xF8\xCA\a\x8A6\xA9\xEF'\x9C?\x04\x81f}\xCA\xC1\x9C"" } },
            schema_map: {}, extra_options: { mongocryptd_uri: ""mongodb://localhost:27666"" } }, user: ""myUser"", password: ""myPassword"", auth_source: ""admin"" }
  )

  id = 123456789

  number_hi = 2**32
  number_lo = 2**30

  encrypted_mongo_client[:users].delete_one({ _id: id })
  encrypted_mongo_client[:users].insert_one({ _id: id, number_hi:, number_lo: })

  # encrypted client
  puts encrypted_mongo_client[:users].find({ _id: id }).first[""number_hi""].class # BSON::Int64
  puts encrypted_mongo_client[:users].find({ _id: id }).first[""number_lo""].class # Integer

  # normal client
  puts mongo_client[:users].find({ _id: id }).first[""number_hi""].class # Integer
  puts mongo_client[:users].find({ _id: id }).first[""number_lo""].class # Integer
end
{code}

Proposed change at https://github.com/mongodb/mongo-ruby-driver/pull/2967",RUBY,Improvement,Client Side Encryption,,Documented:DOCSP-55962,driver_spec_nonconformance,medium
193,RUBY-842,https://jira.mongodb.org/browse/RUBY-842,opus,not_relevant,,medium,"error_code not populated on OperationFailure with 2.6 server; Ruby exception API ergonomics, not a published spec rule.",mongo-ruby-driver does not populate error_code for exceptions from MongoDB 2.6 servers,"It looks like MongoDB changed the format of error objects returned such that the mongo-ruby-driver no longer populates the `error_code` property on exceptions:

Current behavior (with a 2.6 server):

{code}
evan@caron:~$ pry
[1] pry(main)> gem 'mongo', '~> 1.11'
=> true
[2] pry(main)> require 'mongo'
=> true
[3] pry(main)> conn = Mongo::Connection.new;
[4] pry(main)> conn['test']['test_unique'].ensure_index({name: 1}, {unique: true})
=> ""name_1""
[5] pry(main)> conn['test']['test_unique'].save({_id: 1, name: 'evan'})
=> 1
[6] pry(main)> conn['test']['test_unique'].save({_id: 2, name: 'evan'})
Mongo::OperationFailure: Database command 'update' failed: (ok: '1'; nModified: '0'; n: '0'; lastOp: 'seconds: 1417480850, increment: 1'; electionId: '547204e1f7f0f1a6e9092731'; writeErrors: '[{""index""=>0, ""code""=>11000, ""errmsg""=>""insertDocument :: caused by :: 11000 E11000 duplicate key error index: test.test_unique.$name_1  dup key: { : \""evan\"" }""}]').
from /home/evan/.rbenv/versions/2.1.2/lib/ruby/gems/2.1.0/gems/mongo-1.11.1/lib/mongo/db.rb:581:in `command'
[7] pry(main)> e = _ex_
=> #<Mongo::OperationFailure: Database command 'update' failed: (ok: '1'; nModified: '0'; n: '0'; lastOp: 'seconds: 1417480850, increment: 1'; electionId: '547204e1f7f0f1a6e9092731'; writeErrors: '[{""index""=>0, ""code""=>11000, ""errmsg""=>""insertDocument :: caused by :: 11000 E11000 duplicate key error index: test.test_unique.$name_1  dup key: { : \""evan\"" }""}]').>
[8] pry(main)> e.error_code
=> nil
{code}

Previous behavior (with a 2.4 server):

{code}
[1] pry(main)> require 'mongo'
=> true
[2] pry(main)> conn = Mongo::Connection.new;
[3] pry(main)> conn['test']['test_unique'].ensure_index({name: 1}, {unique: true})
=> ""name_1""
[4] pry(main)> conn['test']['test_unique'].save({_id: 1, name: 'evan'})
=> 1
[5] pry(main)> conn['test']['test_unique'].save({_id: 2, name: 'evan'})
Mongo::OperationFailure: 11000: E11000 duplicate key error index: test.test_unique.$name_1  dup key: { : ""evan"" }
from /usr/li",RUBY,Bug,,,,not_relevant,medium
194,RUST-725,https://jira.mongodb.org/browse/RUST-725,opus,not_relevant,stable-api|wire-protocol,medium,Per-driver implementation of DRIVERS-1633 (use 'hello' command when API Version declared); Stable API/handshake conformance.,"Use ""hello"" command when API Version is declared","{html}
    <div id=""script-target-wrapper"">
        <br>
        <b>DRIVERS Ticket Description</b>
        <div id=""lang-script-target"">
            <!-- This block of HTML and the script in it auto-populate the DRIVERS ticket description on page load. -->
            Script Target - If you can read this text, the script has failed
            <script>
                $.get('https://jira.mongodb.org/browse/DRIVERS-1633', function(data) {
                    var description = $(data).find(""#description-val"");
                    $(""#lang-script-target"").html(description);
                });
            </script>
        </div>
    </div>
{html}
",RUST,Improvement,,,Issue split:DRIVERS-1633,driver_spec_nonconformance,high
195,SCALA-230,https://jira.mongodb.org/browse/SCALA-230,opus,not_relevant,wire-protocol,medium,Spec requirement: drivers must error if response messageLength exceeds maxMessageSizeBytes; related to DRIVERS-276.,Drivers must raise an error if response messageLength > ismaster.maxMessageSizeBytes,,SCALA,Improvement,,,Related:DRIVERS-276,driver_spec_nonconformance,high
196,SCALA-485,https://jira.mongodb.org/browse/SCALA-485,opus,not_relevant,,medium,"Scala-specific BSON annotation handling for ADT case classes; language-binding macro/codec bug, not a BSON spec rule.",@BsonProperty is ignored in ADT case classes,"@BsonProperty is not being applied in ADT case classes:
{code:scala}
sealed class Tree
case class Branch(@BsonProperty(""someName"") b1: Tree, b2: Tree, value: Int) extends Tree
case class Leaf(value: Int) extends Tree
collection.insertOne(Branch(Branch(Leaf(1),Leaf(2), 3),Leaf(4),5))
{code}

gets saved as 
{code:json}{
  ""_id"" : ObjectId(""5c207fd77aa018cccb795f38""),
  ""_t"" : ""Branch"",
  ""b1"" : {
    ""_t"" : ""Branch"",
    ""b1"" : {
      ""_t"" : ""Leaf"",
      ""value"" : 1
    },
  ""b2"" : {
    ""_t"" : ""Leaf"",
    ""value"" : 2
    },
  ""value"" : 3
  },
  ""b2"" : {
    ""_t"" : ""Leaf"",
    ""value"" : 4
  },
  ""value"" : 5
}
{code}",SCALA,Bug,API,,,driver_spec_nonconformance,high
197,SWIFT-1192,https://jira.mongodb.org/browse/SWIFT-1192,opus,not_relevant,stable-api,high,Issue split from DRIVERS-1720 to require Stable API options on getMore and transaction-continuing commands; per-driver spec implementation.,Require passing Stable API options to getMore and transaction-continuing commands,"
{html}
    <div id=""script-target-wrapper"">
        <br>
        <b>DRIVERS Ticket Description</b>
        <div id=""lang-script-target"">
            <!-- This block of HTML and the script in it auto-populate the DRIVERS ticket description on page load. -->
            Script Target - If you can read this text, the script has failed
            <script>
                $.get('https://jira.mongodb.org/browse/DRIVERS-1720', function(data) {
                    var description = $(data).find(""#description-val"");
                    $(""#lang-script-target"").html(description);
                });
            </script>
        </div>
    </div>
{html}
",SWIFT,Improvement,,,Depends:CDRIVER-3974|Issue split:DRIVERS-1720|Related:SWIFT-1232,driver_spec_nonconformance,high
198,SWIFT-1459,https://jira.mongodb.org/browse/SWIFT-1459,opus,not_relevant,cmap,low,"Handle errors when opening connection pool; thin description, fix discussion only in linked PR; likely implementation hardening.",Handle errors when opening the connection pool,Details on the proposed fix for this problem can be found in this thread: https://github.com/mongodb/mongo-swift-driver/pull/729#discussion_r790023808,SWIFT,Bug,,quick-win,,avoidable_by_spec_conformance,medium
199,SWIFT-1470,https://jira.mongodb.org/browse/SWIFT-1470,opus,test_infrastructure,load-balancer,high,Issue split from DRIVERS-1983 to update load balancer tests for dedicated port; per-driver spec test update.,Update load balancer tests to support dedicated load balancer port,"This ticket was split from {{DRIVERS-1983}}, please see that ticket for a detailed description. ",SWIFT,Improvement,,,Depends:SWIFT-1455|Issue split:DRIVERS-1983|Related:CDRIVER-4275,test_infrastructure,medium
200,SWIFT-974,https://jira.mongodb.org/browse/SWIFT-974,opus,not_relevant,,high,"Cursor leak after DecodingError in findOne; Swift-specific resource cleanup bug, not a spec rule deviation.",Cursor gets leaked in findOne after DecodingError,"In {{findOne}}, we ensure we only kill the cursor after a successful document retrieval since we assume the cursor will clean itself up appropriately after encountering an error. Cursors do not close themselves after encountering \{{DecodingError}} s, however, and in those cases we leak the cursor.
{code}struct Blah: Decodable {
    let lfkjadsjkla: String
}
let coll = db.collection(""blah"", withType: Blah.self)
try coll.findOne([:]).wait()
{code}
yields (in Debug mode)
{code}Assertion failed: cursor or change stream wasn't closed before it went out of scope: file /home/patrick/mongo-swift-driver/Sources/MongoSwift/CursorCommon.swift, line 247
{code}",SWIFT,Bug,,,,avoidable_by_spec_conformance,medium
